código,nombre
F01B6C,vivo Mobile Communication Co.
000EED,Nokia Danmark A/S
08373D,Samsung Electronics Co.
C488E5,Samsung Electronics Co.
FCC734,Samsung Electronics Co.
8425DB,Samsung Electronics Co.
E458B8,Samsung Electronics Co.
088C2C,Samsung Electronics Co.
64B853,Samsung Electronics Co.
389496,Samsung Electronics Co.
5056BF,Samsung Electronics Co.
90F1AA,Samsung Electronics Co.
1077B1,Samsung Electronics Co.
A49A58,Samsung Electronics Co.
08EE8B,Samsung Electronics Co.
74458A,Samsung Electronics Co.
C4473F,HUAWEI TECHNOLOGIES CO.
5CB524,Sony Mobile Communications Inc
90C115,Sony Mobile Communications Inc
D05162,Sony Mobile Communications Inc
18002D,Sony Mobile Communications Inc
280DFC,Sony Interactive Entertainment Inc.
0024EF,Sony Mobile Communications Inc
0025E7,Sony Mobile Communications Inc
58170C,Sony Mobile Communications Inc
0016B8,Sony Mobile Communications Inc
080046,Sony Corporation
F8E079,Motorola Mobility LLC
CCC3EA,Motorola Mobility LLC
40786A,Motorola Mobility LLC
2400BA,HUAWEI TECHNOLOGIES CO.
24DF6A,HUAWEI TECHNOLOGIES CO.
7C7D3D,HUAWEI TECHNOLOGIES CO.
4482E5,HUAWEI TECHNOLOGIES CO.
002376,HTC Corporation
38E7D8,HTC Corporation
188796,HTC Corporation
B4CEF6,HTC Corporation
E84DD0,HUAWEI TECHNOLOGIES CO.
0C45BA,HUAWEI TECHNOLOGIES CO.
B05B67,HUAWEI TECHNOLOGIES CO.
CCA223,HUAWEI TECHNOLOGIES CO.
786A89,HUAWEI TECHNOLOGIES CO.
384608,zte corporation
4CAC0A,zte corporation
B4B362,zte corporation
B075D5,zte corporation
D0154A,zte corporation
0026ED,zte corporation
14B968,HUAWEI TECHNOLOGIES CO.
5CF96A,HUAWEI TECHNOLOGIES CO.
002293,zte corporation
50A72B,HUAWEI TECHNOLOGIES CO.
0CD6BD,HUAWEI TECHNOLOGIES CO.
00F81C,HUAWEI TECHNOLOGIES CO.
087A4C,HUAWEI TECHNOLOGIES CO.
ACE215,HUAWEI TECHNOLOGIES CO.
346BD3,HUAWEI TECHNOLOGIES CO.
70723C,HUAWEI TECHNOLOGIES CO.
ACE87B,HUAWEI TECHNOLOGIES CO.
F83DFF,HUAWEI TECHNOLOGIES CO.
285FDB,HUAWEI TECHNOLOGIES CO.
404D8E,HUAWEI TECHNOLOGIES CO.
4C5499,HUAWEI TECHNOLOGIES CO.
F49FF3,HUAWEI TECHNOLOGIES CO.
240995,HUAWEI TECHNOLOGIES CO.
84DBAC,HUAWEI TECHNOLOGIES CO.
94772B,HUAWEI TECHNOLOGIES CO.
D440F0,HUAWEI TECHNOLOGIES CO.
04021F,HUAWEI TECHNOLOGIES CO.
185936,Xiaomi Communications Co Ltd
200BC7,HUAWEI TECHNOLOGIES CO.
F84ABF,HUAWEI TECHNOLOGIES CO.
